Skupno: kaskader                  Moski average: 0.9279    Zenski average: 0.9336     Razlika: -0.0058
Normalni: katehet                   Moski average: 0.9066    Zenski average: 0.9422     Razlika: -0.0356
Mešani: katehet                   Moski average: 0.9111    Zenski average: 0.9143     Razlika: -0.0032
Skupno: katehet                   Moski average: 0.9088    Zenski average: 0.9266     Razlika: -0.0178
Normalni: kemik                     Moski average: 0.9036    Zenski average: 0.8955     Razlika: 0.0081
Mešani: kemik                     Moski average: 0.8872    Zenski average: 0.8594     Razlika: 0.0279
Skupno: kemik                     Moski average: 0.8954    Zenski average: 0.8914     Razlika: 0.0040
Normalni: keramik                   Moski average: 0.8887    Zenski average: 0.9111     Razlika: -0.0224
Mešani: keramik                   Moski average: 0.8964    Zenski average: 0.8697     Razlika: 0.0267
Skupno: keramik                   Moski average: 0.8925    Zenski average: 0.9038     Razlika: -0.0112
Normalni: kipar                     Moski average: 0.8872    Zenski average: 0.9125     Razlika: -0.0254
Mešani: kipar                     Moski average: 0.8813    Zenski average: 0.8749     Razlika: 0.0064
Skupno: kipar                     Moski average: 0.8842    Zenski average: 0.8969     Razlika: -0.0127
Normalni: kiropraktik               Moski average: 0.9322    Zenski average: 0.9290     Razlika: 0.0031
Mešani: kiropraktik               Moski average: 0.9288    Zenski average: 0.9138     Razlika: 0.0149
Skupno: kiropraktik               Moski average: 0.9305    Zenski average: 0.9289     Razlika: 0.0016
Normalni: kirurg                    Moski average: 0.9122    Zenski average: 0.9256     Razlika: -0.0133
Mešani: kirurg                    Moski average: 0.9019    Zenski average: 0.8823     Razlika: 0.0196
Skupno: kirurg                    Moski average: 0.9071    Zenski average: 0.9137     Razlika: -0.0067
Normalni: klepar                    Moski average: 0.8893    Zenski average: 0.9308     Razlika: -0.0415
Mešani: klepar                    Moski average: 0.8811    Zenski average: 0.8994     Razlika: -0.0183
Skupno: klepar                    Moski average: 0.8852    Zenski average: 0.9059     Razlika: -0.0208
Normalni: kletar                    Moski average: 0.8876    Zenski average: 0.9255     Razlika: -0.0379
Mešani: kletar                    Moski average: 0.8907    Zenski average: 0.8983     Razlika: -0.0076
Skupno: kletar                    Moski average: 0.8892    Zenski average: 0.9081     Razlika: -0.0189
Normalni: ključar                   Moski average: 0.8981    Zenski average: 0.8881     Razlika: 0.0100
Mešani: ključar                   Moski average: 0.8996    Zenski average: 0.8564     Razlika: 0.0432
Skupno: ključar                   Moski average: 0.8988    Zenski average: 0.8938     Razlika: 0.0050
Normalni: ključavničar              Moski average: 0.9054    Zenski average: 0.9081     Razlika: -0.0027
Mešani: ključavničar              Moski average: 0.8929    Zenski average: 0.8645     Razlika: 0.0284
Skupno: ključavničar              Moski average: 0.8991    Zenski average: 0.9005     Razlika: -0.0013
Normalni: klovn                     Moski average: 0.9326    Zenski average: 0.9056     Razlika: 0.0269
Mešani: klovn                     Moski average: 0.9308    Zenski average: 0.8941     Razlika: 0.0367
Skupno: klovn                     Moski average: 0.9317    Zenski average: 0.9182     Razlika: 0.0135
Normalni: knjižničar                Moski average: 0.9051    Zenski average: 0.9041     Razlika: 0.0010
Mešani: knjižničar                Moski average: 0.8830    Zenski average: 0.8675     Razlika: 0.0155
Skupno: knjižničar                Moski average: 0.8940    Zenski average: 0.8935     Razlika: 0.0005
Normalni: komentator                Moski average: 0.8926    Zenski average: 0.9044     Razlika: -0.0118
Mešani: komentator                Moski average: 0.8783    Zenski average: 0.8848     Razlika: -0.0065
Skupno: komentator                Moski average: 0.8855    Zenski average: 0.8913     Razlika: -0.0059
Normalni: komik                     Moski average: 0.9117    Zenski average: 0.9151     Razlika: -0.0034
Mešani: komik                     Moski average: 0.9001    Zenski average: 0.8715     Razlika: 0.0285
Skupno: komik                     Moski average: 0.9059    Zenski average: 0.9076     Razlika: -0.0017
Normalni: konjerejec                Moski average: 0.9274    Zenski average: 0.9367     Razlika: -0.0094
Mešani: konjerejec                Moski average: 0.9064    Zenski average: 0.9136     Razlika: -0.0072
Skupno: konjerejec                Moski average: 0.9169    Zenski average: 0.9216     Razlika: -0.0047
Normalni: konzul                    Moski average: 0.9044    Zenski average: 0.9235     Razlika: -0.0191
Mešani: konzul                    Moski average: 0.9093    Zenski average: 0.8878     Razlika: 0.0216
Skupno: konzul                    Moski average: 0.9069    Zenski average: 0.9164     Razlika: -0.0095
Normalni: koreograf                 Moski average: 0.9002    Zenski average: 0.9262     Razlika: -0.0260
Mešani: koreograf                 Moski average: 0.8759    Zenski average: 0.8852     Razlika: -0.0093
Skupno: koreograf                 Moski average: 0.8880    Zenski average: 0.9010     Razlika: -0.0130
Normalni: korepetitor               Moski average: 0.9327    Zenski average: 0.9265     Razlika: 0.0062
Mešani: korepetitor               Moski average: 0.9258    Zenski average: 0.8952     Razlika: 0.0306
Skupno: korepetitor               Moski average: 0.9292    Zenski average: 0.9262     Razlika: 0.0031
Normalni: kostumograf               Moski average: 0.9239    Zenski average: 0.9277     Razlika: -0.0039
Mešani: kostumograf               Moski average: 0.9184    Zenski average: 0.9180     Razlika: 0.0004
Skupno: kostumograf               Moski average: 0.9211    Zenski average: 0.9230     Razlika: -0.0019
Normalni: kozmetik                  Moski average: 0.8812    Zenski average: 0.9053     Razlika: -0.0241
Mešani: kozmetik                  Moski average: 0.8872    Zenski average: 0.8671     Razlika: 0.0201
Skupno: kozmetik                  Moski average: 0.8842    Zenski average: 0.8962     Razlika: -0.0121
Normalni: kritik                    Moski average: 0.8811    Zenski average: 0.8998     Razlika: -0.0187
Mešani: kritik                    Moski average: 0.8640    Zenski average: 0.8636     Razlika: 0.0004
Skupno: kritik                    Moski average: 0.8726    Zenski average: 0.8819     Razlika: -0.0093
Normalni: krmar                     Moski average: 0.8985    Zenski average: 0.9417     Razlika: -0.0432
Mešani: krmar                     Moski average: 0.8846    Zenski average: 0.9228     Razlika: -0.0382
Skupno: krmar                     Moski average: 0.8916    Zenski average: 0.9131     Razlika: -0.0216
Normalni: krojač                    Moski average: 0.9267    Zenski average: 0.9366     Razlika: -0.0100
Mešani: krojač                    Moski average: 0.9258    Zenski average: 0.9016     Razlika: 0.0243
Skupno: krojač                    Moski average: 0.9262    Zenski average: 0.9312     Razlika: -0.0050
Normalni: krovec                    Moski average: 0.8986    Zenski average: 0.9336     Razlika: -0.0350
Mešani: krovec                    Moski average: 0.8932    Zenski average: 0.9272     Razlika: -0.0340
Skupno: krovec                    Moski average: 0.8959    Zenski average: 0.9134     Razlika: -0.0175
Normalni: krošnjar                  Moski average: 0.9244    Zenski average: 0.9314     Razlika: -0.0070
Mešani: krošnjar                  Moski average: 0.9288    Zenski average: 0.8956     Razlika: 0.0333
Skupno: krošnjar                  Moski average: 0.9266    Zenski average: 0.9301     Razlika: -0.0035
Normalni: krupje                    Moski average: 0.9200    Zenski average: 0.9288     Razlika: -0.0088
Mešani: krupje                    Moski average: 0.9256    Zenski average: 0.9155     Razlika: 0.0101
Skupno: krupje                    Moski average: 0.9228    Zenski average: 0.9272     Razlika: -0.0044
Normalni: kuhar                     Moski average: 0.8838    Zenski average: 0.9016     Razlika: -0.0178
Mešani: kuhar                     Moski average: 0.8782    Zenski average: 0.8556     Razlika: 0.0226
Skupno: kuhar                     Moski average: 0.8810    Zenski average: 0.8899     Razlika: -0.0089
Normalni: kurir                     Moski average: 0.8942    Zenski average: 0.8918     Razlika: 0.0024
Mešani: kurir                     Moski average: 0.8775    Zenski average: 0.8591     Razlika: 0.0184
Skupno: kurir                     Moski average: 0.8859    Zenski average: 0.8846     Razlika: 0.0012
Normalni: kustos                    Moski average: 0.9183    Zenski average: 0.9414     Razlika: -0.0231
Mešani: kustos                    Moski average: 0.9150    Zenski average: 0.9251     Razlika: -0.0101
Skupno: kustos                    Moski average: 0.9166    Zenski average: 0.9282     Razlika: -0.0115
Normalni: lekarnar                  Moski average: 0.8821    Zenski average: 0.8993     Razlika: -0.0172
Mešani: lekarnar                  Moski average: 0.8563    Zenski average: 0.8690     Razlika: -0.0127
Skupno: lekarnar                  Moski average: 0.8692    Zenski average: 0.8778     Razlika: -0.0086
Normalni: lektor                    Moski average: 0.9161    Zenski average: 0.9280     Razlika: -0.0119
Mešani: lektor                    Moski average: 0.8912    Zenski average: 0.9007     Razlika: -0.0095
Skupno: lektor                    Moski average: 0.9036    Zenski average: 0.9096     Razlika: -0.0060
